lab,address,pincode,city,state,type
"InfeXn Laboratories Private Ltd, Thane","InfeXn Laboratories Private Ltd, A/131, Therelek Compound, Road Number 23, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604",400604,Thane,Maharashtra,Private Laboratory
"iGenetic Diagnostics Pvt. Ltd., Mumbai","iGenetic Diagnostics Pvt. Ltd., 1st Floor, krislon House, Off Marol Military Road, Andheri East, Mumbai Maharashtra 400072",400072,Mumbai,Maharashtra,Private Laboratory
"Tata Memorial Centre Diagnostic Services, Tata Memorial Hospital, Mumbai","Tata Memorial Centre Diagnostic Services, Tata Memorial Hospital, Dept. of Microbiology & Serology, 6th Floor, Anexe Building, Tata Memorial Hospital, Dr. E. Borges Road, Parel, Mumbai 400012",400012,Mumbai,Maharashtra,Private Laboratory
"Sahyadri Speciality Labs, Pune","Sahyadri Speciality Labs, Plot No. 54, S.No. 80-90, Lokmanya Colony, Kothrud, Pune-411038, Maharashtra, India",411038,Pune,Maharashtra,Private Laboratory
"Dr. Jariwala Laboratory & Diagnostics LLP, Mumbai","Dr. Jariwala Laboratory & Diagnostics LLP, 1st Floor, Rasraj Heights, Rokadia Lane, Near Gokul Hotel Off,Mandpeshwar Road, Borivli (W), Mumbai-400092, Maharashtra",400092,Mumbai,Maharashtra,Private Laboratory
"Metropolis Healthcare Limited, Pune","Construction House, Ground Floor, First Floor & Second Floor, 796/189-B, Bhandarkar Institute Road, Pune – 411004, Maharashtra, India",411004,Pune,Maharashtra,Private Laboratory
"Ruby Hall Clinic, Department of Laboratory, Grant Medical Foundation, Pune","Ruby Hall Clinic, Department of Laboratory, Grant Medical Foundation, 40, Sassoon Road, Pune – 411001, Maharashtra, India",411001,Pune,Maharashtra,Private Laboratory
"Qualilife Diagnostics, Mumbai","Qualilife Diagnostics, Balaji Arcade, 1st Floor, 544/A, Above Janata Sahakari Bank, Netaji Subhash Road, Mulud – West, Mumbai-400080",400080,Mumbai,Maharashtra,Private Laboratory
"SRL Diagnostics- Dr. Avinash Phadke (SRL Diagnostics Pvt Ltd), Mumbai","SRL Diagnostics- Dr. Avinash Phadke (SRL Diagnostics Pvt Ltd), Mahalaxmi Engineering Estate, 2nd floor, near k.j.khilnani high school, Mahim West, Mahim, Mumbai, Maharashtra 400016",400016,Mumbai,Maharashtra,Private Laboratory
"Sunflower Laboratory And Diagnostic Center, Mumbai","Sunflower Laboratory And Diagnostic Center, Keshav Kunj, Marve Road, Malad West, Mumbai, Maharashtra 400064",400064,Mumbai,Maharashtra,Private Laboratory
"Aditya Birla Memorial Hospital –Laboratory (A Unit of Aditya Birla Health Services Ltd.), Pune","Aditya Birla Memorial Hospital –Laboratory (A Unit of Aditya Birla Health Services Ltd.), Aditya Birla Hospital Marg, Chinchwad, Pune-411033, Maharashtra, India",411033,Pune,Maharashtra,Private Laboratory
"Department of Laboratory Medicine – P.D. Hinduja National Hospital & Medical Research Centre, Mumbai","Department of Laboratory Medicine – P.D. Hinduja National Hospital & Medical Research Centre, Veer Savarkar Marg, Mahim (W), Mumbai- 400016, Maharashtra, India",400016,Mumbai,Maharashtra,Private Laboratory
"All India Institute of Medical Sciences (AIIMS), Bhopal","All India Institute of Medical Sciences (AIIMS), AIIMS Campus Rd, Saket Nagar, Habib Ganj, Bhopal, Madhya Pradesh 462026",462026,Bhopal,Madhya Pradesh,Government Laboratory
"National Institute for Research in Tribal Health, Jabalpur","National Institute for Research in Tribal Health, Nagpur Road, near NSCB Medical Collage, Dhanvantri Nagar, Shastri Nagar, Jabalpur, Madhya Pradesh 482003",482003,Jabalpur,Madhya Pradesh,Government Laboratory
"Mahatma Gandhi Memorial Medical College, Indore","MGM Medical College, A.B.Road, Indore, 452001 Indore, Madhya Pradesh",452001,Indore,Madhya Pradesh,Government Laboratory
"Gandhi Medical College, Bhopal","Gandhi Medical College, Sultania Rd, near Hamidia Hospital, Royal Market, Bhopal, Madhya Pradesh 462001",462001,Bhopal,Madhya Pradesh,Government Laboratory
"Bhopal Memorial Hospital & Research Centre, Bhopal","Bhopal Memorial Hospital & Research Centre, Raisen Rd, Near Best Price, BMHRC Campus, Karond, Bhopal, Madhya Pradesh 462038",462038,Bhopal,Madhya Pradesh,Government Laboratory
"Gajra Raja Medical College, Gwalior","Gajra Raja Medical College, Yadav Colony, Lashkar, Gwalior, Madhya Pradesh 474009",474009,Gwalior,Madhya Pradesh,Government Laboratory
"ICAR-National Institute of High Security Animal Diseases (ICAR-NIHSAD), Bhopal","ICAR-National Institute of High Security Animal Diseases (ICAR-NIHSAD), Anand Nagar, Bhopal- 462022, Madhya Pradesh, India",462022,Bhopal,Madhya Pradesh,Government Laboratory
"Defence Research & Development Establishment (DRDE), Gwalior","Defence Research & Development Organisation, Jhansi Road, Gwalior-474002, Madhya Pradesh",474002,Gwalior,Madhya Pradesh,Government Laboratory
"Bundelkhand Government College, Sagar","Bundelkhand Government College, Shivaji Ward, Tili Rd, Sagar, Madhya Pradesh 470001",470001,Sagar,Madhya Pradesh,Government Laboratory
"Chirayu Medical College & Hospital, Bhopal","Chirayu Medical College & Hospital, Bhopal Indore Highway Bhainsakhedi, Bairagarh, Bhopal, Madhya Pradesh 462030",462030,Bhopal,Madhya Pradesh,Private Laboratory
"Jawaharlal Nehru Institute of Medical Sciences, Imphal","Jawaharlal Nehru Institute of Medical Sciences, Porompat, Imphal, Manipur 795004",795004,Imphal,Manipur,Government Laboratory
"Regional Institute of Medical Sciences, Imphal","Regional Institute of Medical Sciences, Lamphel Road, Lamphelpat, Imphal, Manipur 795004",795004,Imphal,Manipur,Government Laboratory
"North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences (NEIGRIHMS), Shillong","North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences (NEIGRIHMS), NEIGRIHMS,Mawdiangdiang Shillong-793018, Meghalaya, India",793018,Shillong,Meghalaya,Government Laboratory
"Zoram Medical College, Aizwal","Zoram Medical College, State Referral Hospital, Falkawn, Aizawl, Mizoram 796005",796005,Aizawl,Mizoram,Government Laboratory
"ICMR-Regional Medical Research Centre (RMRC), Bhubaneswar","ICMR-Regional Medical Research Centre (RMRC), Chandrasekharpur, Bhubaneswar - 751 023, Odisha",751023,Bhubaneswar,Odisha,Government Laboratory
"All India Institute of Medical Sciences (AIIMS), Bhubaneswar","All India Institute of Medical Sciences (AIIMS), Sijua, Patrapada, Bhubaneswar, Odisha 751019",751019,Bhubaneswar,Odisha,Government Laboratory
"SCB Medical College, Cuttack","SCB Medical College, PG Hostel, Cuttack, Odisha 753001",753001,Cuttack,Odisha,Government Laboratory
"M.K.C.G Medical College, Berhampur","M.K.C.G Medical College, National Highway 59, Berhampur, District - Ganjam, Odisha. Pin: 760 004, India",760004,Berhampur,Odisha,Government Laboratory
"Institute of Life Sciences (ILS), Bhubaneswar","Institute of Life Sciences (ILS), NALCO Square, Bhubaneswar 751023, Odisha, India",751023,Bhubaneswar,Odisha,Government Laboratory
"Ispat General Hospital (IGH), Rourkela","Ispat General Hospital (IGH), Sector 19, Rourkela Steel Plant, Rourkela, 769011, Odisha, India",769011,Rourkela,Odisha,Government Laboratory
"Department of Laboratory Services Apollo Hospitals, Bhubaneswar","Department of Laboratory Services Apollo Hospitals, Plot no 251, Sainik School Rd, Unit 15, Gajapati Nagar, Bhubaneswar, Odisha 751005",751005,Bhubaneswar,Odisha,Private Laboratory
"Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), Puducherry","JIPMER Campus Rd, Gorimedu, Dhanvantari Nagar, Puducherry, 605006",605006,Puducherry,Puducherry,Government Laboratory
"Government Medical College, Amritsar","Government Medical College, Medical Enclave, Amritsar, Punjab 143001",143001,Amritsar,Punjab,Government Laboratory
"Government Medical College, Patiala","Government Medical College, Sangrur Rd, New Lal Bagh Colony, Patiala, Punjab 147001",147001,Patiala,Punjab,Government Laboratory
"Guru Gobind Singh Medical College & Hospital, Faridkot","Guru Gobind Singh Medical College & Hospital, Sadiq Road, Faridkot, Punjab 151203, India",151203,Faridkot,Punjab,Government Laboratory
"Department of Microbiology, Dayanand Medical College and Hospital, Ludhiana","Department of Microbiology, Dayanand Medical College and Hospital, Civil Lines, Tagore Nagar, Ludhiana, Punjab 141001",141001,Ludhiana,Punjab,Private Laboratory
"Tuli Diagnostic Centre, Amritsar","Tuli Diagnostic Centre, Majitha Road, Opp. Guru Nanak Dev Hospital, Amritsar-143001, ,Punjab, India",143001,Amritsar,Punjab,Private Laboratory
"Sawai Man Singh (SMS) Medical College, Jaipur","SMS Medical College, Jawahar Lal Nehru Marg, Gangawal Park, Adarsh Nagar, Jaipur, Rajasthan 302004",302004,Jaipur,Rajasthan,Government Laboratory
"Dr. Sampurnanand Medical College, Jodhpur","Dr. S.N. Medical College, Residency Road, Near Sriram Excellency Hotel, Sector-D, Shastri Nagar, opposite Petrol Pump, Jodhpur, Rajasthan 342003",342003,Jodhpur,Rajasthan,Government Laboratory
"Jhalawar Medical College, Jhalawar","Jhalawar Medical College, N.H.-12, Kota Rd, Jhalawar, Rajasthan 326001",326001,Jhalawar,Rajasthan,Government Laboratory
"RNT Medical College, Udaipur","RNT Medical College, Court Chowk, City's Prime Health Care Area, Udaipur, Rajasthan 313001",313001,Udaipur,Rajasthan,Government Laboratory
"S.P. Medical College, Bikaner","S.P. Medical College, PBM Hospital, Bikaner, Rajasthan 334001",334001,Bikaner,Rajasthan,Government Laboratory
"All India Institute of Medical Sciences (AIIMS), Jodhpur","All India Institute of Medical Sciences (AIIMS), Basni Industrial Area, MIA 2nd Phase, Basni, Jodhpur, Rajasthan 342005",342005,Jodhpur,Rajasthan,Government Laboratory
"JLN Medical College, Ajmer","JLN Medical College, Kala Bagh, Ajmer, Rajasthan 305001",305001,Ajmer,Rajasthan,Government Laboratory
"Govt. Medical College, Kota","Govt. Medical College, Rangbari Rd, Sector - A, Rangbari, Kota, Rajasthan 324010",324010,Kota,Rajasthan,Government Laboratory
"Central Laboratory, Mahatma Gandhi University of Medical Sciences & Technology, Jaipur","Central Laboratory, Mahatma Gandhi University of Medical Sciences & Technology, Ricco Industrial Area, Sitapura, Tonk Road, Jaipur, Rajasthan 302022",302022,Jaipur,Rajasthan,Private Laboratory
"Sir Thutob Namgyal Memorial Hospital (STNM), Gangtok","STNM Hospital, Sungava, Gangtok, Sikkim 737101",737101,Gangtok,Sikkim,Collection Site
"King Institute of Preventive Medicine and Research, Chennai","King Institute of Preventive Medicine and Research, Chennai",600032,Chennai,Tamil Nadu,Government Laboratory
"Madras Medical College, Chennai, Tamil Nadu","Madras Medical College, Near Park Town Station, Park Town, Chennai, Tamil Nadu 600003",600003,Chennai,Tamil Nadu,Government Laboratory
"Government Theni Medical College, Theni","Govt. Theni Medical College, k. villakku, Tamil Nadu 625531",625531,Theni,Tamil Nadu,Government Laboratory
"Tirunelveli Medical College, Tirunelveli","Tirunelveli Medical College, 3, High Ground Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627011",627011,Tirunelveli,Tamil Nadu,Government Laboratory
"Government Medical College, Thiruvarur","Government Medical College, Collector office Master Plan Complex, Collector Office Road, Thiruvarur, Tamil Nadu 610004",610004,Thiruvar,Tamil Nadu,Government Laboratory
"Kumar Mangalam Government Medical College, Salem","Government Mohan Kumaramangalam Medical College, Steel Plant Road Sarkar Kollappatty, Salem, Tamil Nadu 636030",636030,Salem,Tamil Nadu,Government Laboratory
"Coimbatore Medical College, Coimbatore","Coimbatore Medical College, 1 A, SF No 498, Avinashi Rd, Peelamedu, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641018",641018,Coimbatore,Tamil Nadu,Government Laboratory
"Government Villupuram Medical College, Villupuram","Government Villupuram Medical College, Mundiyampakkam, Villupuram, Tamil Nadu 605601",605601,Villupuram,Tamil Nadu,Government Laboratory
"Madurai Medical College, Madurai","Medical College, Medical College Rd, Alwarpuram, Madurai, Tamil Nadu 625020",625020,Madurai,Tamil Nadu,Government Laboratory
"K.A.P. Viswanatham Government Medical College, Trichy","K.A.P. Viswanatham Government Medical College, Periyamilaguparai, Colletor's office Road, Trichy, Tamil Nadu 620001",620001,Trichy,Tamil Nadu,Government Laboratory
"IRT Perundurai Medical College, Perundurai","IRT Perundurai Medical College, Perundurai -638053 Erode District TamilNadu, India",638053,Perundurai,Tamil Nadu,Government Laboratory
"Government Dharmapuri Medical College, Dharmapuri","Government Dharmapuri Medical College, Nethaji byepass Road, Dharmapuri, Tamil Nadu, 636701 India",636701,Dharmapuri,Tamil Nadu,Government Laboratory
"Government Vellore Medical College, Vellore","Government Vellore Medical College, Sapthalipuram, Pennathur, Adukkamparai, Tamil Nadu 632011",632011,Vellore,Tamil Nadu,Government Laboratory
"State Public Health Laboratory, Chennai","State Public Health Laboratory, Chokkalingam Nagar, Teynampet, Chennai, Tamil Nadu 600086",600086,Chennai,Tamil Nadu,Government Laboratory
"ICMR-National Institute of Epidemiology, Chennai","ICMR-National Institute of Epidemiology, Second Main Road, Tamil Nadu Housing Board, Ayapakkam, Near Ambattur, Chennai 600077, Tamil Nadu, India",600077,Chennai,Tamil Nadu,Government Laboratory
"Kanyakumari Government Medical College, Nagercoil","Kanyakumari Government Medical College, Asaripallam, Nagercoil, Kanyakumari, Tamil Nadu, India-629201",629201,Nagercoil,Tamil Nadu,Government Laboratory
"Christian Medical College, Vellore","Department of Clinical Virology, Christian Medical College, 9th Floor, ASHA Building, IDA Scudder Road, Christian Medical College, Vellore, Tamil Nadu, India Pin 632004",632004,Vellore,Tamil Nadu,Private Laboratory
"Apollo Hospitals Enterprise Limited, Chennai","Department of Laboratory Services, Apollo Hospitals Enterprise Limited, 21 Greams Lane, Off Greams Road, Chennai Tamil Nadu Pin 600006",600006,Chennai,Tamil Nadu,Private Laboratory
"Neuberg Ehrlich Laboratory Pvt Ltd, Chennai","Neuberg Ehrlich Laboratory Pvt Ltd, 46 & 48, Masilamani Road, Balaji Nagar, Royapettah, Chennai - 600 014, Tamil Nadu",600014,Chennai,Tamil Nadu,Private Laboratory
"Sri Ramachandra Laboratory Services, Chennai","No.1 Ramachandra Nagar, Porur, Chennai - 600116 Tamil Nadu, India",600116,Chennai,Tamil Nadu,Private Laboratory
"Microbiological Laboratory, Coimbatore","Microbiological laboratory, no-02, kings colony, united nagar, veerakeralam road, vadavalli, Coimbatore, Tamil Nadu, Indi",641002,Coimbatore,Tamil Nadu,Private Laboratory
"Y. R. Gaitonde Centre for AIDS Research and Education (YRG Care), Chennai","Division of Molecular Biology & Genotyping, YRG CARE Infectious Diseases Laboratory VHS Hospital Campus, Rajiv Gandhi Road, Tharamani, Chennai, Tamil Nadu 600113",600113,Chennai,Tamil Nadu,Private Laboratory
"K.A.P. Viswanatham Government Medical College, Trichy","K.A.P.Viswanatham Government Medical College, Periyamilaguparai, Colletor's office Road, Trichy, Tamil Nadu 620001",620001,Trichy,Tamil Nadu,Private Laboratory
"Madras Medical Mission Clinical Laboratory Services, Chennai","Madras Medical Mission Clinical, Laboratory Services, 4-A, Dr. J. Jayalalitha Nagar, Mogappair, Chennai-600037, India",600037,Chennai,Tamil Nadu,Private Laboratory
"MIOT Hospitals – Department of Laboratory Medicine, Chennai","MIOT Hospitals – Department of Laboratory Medicine, No : 4/112, Mount Poonamallee Road, Manapakkam, Chennai-600089, Tamil Nadu",600089,Chennai,Tamil Nadu,Private Laboratory
"PSG Hospitals Diagnostic Centre, Coimbatore","PSG Hospitals Diagnostic Centre, Avinashi Rd, Peelamedu, Coimbatore, Tamil Nadu 641004",641004,Coimbatore,Tamil Nadu,Private Laboratory
"Gandhi Medical College, Secunderabad","Gandhi Medical College, Musheerabad, Padmarao Nagar, Secunderabad, Telangana 500003",500003,Secunderabad,Telangana,Government Laboratory
"Osmania Medical College, Hyderabad","Osmania Medical College, 5-1-876, Turrebaz Khan Rd, Troop Bazaar, Koti, Hyderabad, Telangana 500095",500095,Hyderabad,Telangana,Government Laboratory
"Sir Ronald Ross of Tropical & Communicable Diseases, Hyderabad","Sir Ronald Ross of Tropical & Communicable Diseases, (Fever Hospital), CGHS Complex, Old Aiport Road, Motilal Nehru Nagar, Begumpet, Hyderabad, Telangana 500016",500016,Hyderabad,Telangana,Government Laboratory
"Nizam's Institute Of Medical Sciences, Hyderabad","Punjagutta Rd, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082",500082,Hyderabad,Telangana,Government Laboratory
"Institute of Preventive Medicine, Hyderabad","Institute of Preventive Medicine, Narayanaguda, Hyderabad, Telangana 500029",500029,Hyderabad,Telangana,Government Laboratory
"CSIR - Centre for Cellular and Molecular Biology, Hyderabad","Centre for Cellular and Molecular Biology, Uppal Rd, IICT Colony, Habsiguda, Hyderabad, Telangana 500007",500007,Hyderabad,Telangana,Government Laboratory
"Centre for DNA Fingerprinting and Diagnostics (CDFD), Hyderabad","Centre for DNA Fingerprinting and Diagnostics (CDFD), Inner Ring Road, Uppal, Hyderabad – 500039, Telangana, India",500039,Hyderabad,Telangana,Government Laboratory
"Laboratory Services Apollo Hospitals, Hyderabad","Laboratory Services Apollo Hospitals Hyderabad, 6th Floor Health street Building, Jubilee Hills, Hyderabad 500096",500096,Hyderabad,Telangana,Private Laboratory
"Vijaya Diagnostic Centre Pvt. Ltd, Hyderabad","Vijaya Diagnostic Centre Pvt. Ltd, 3-6-16 & 17, Street No.19, opp. Lane to Tanishq, Chandra Nagar, Himayatnagar, Hyderabad, Telangana 500029",500029,Hyderabad,Telangana,Private Laboratory
"Vimta Labs Ltd., Hyderabad","Vimta Labs Ltd., Plot No. 142, Phase 2, IDA Cherlapally, Hyderabad, Telangana, India 500051",500051,Hyderabad,Telangana,Private Laboratory
"Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, Hyderabad","Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, NOS, 140/A, 140/B, 140/C, 141/A, 141/B, 141/C, Thokatta Village, Bowenpally, Secunderabad, Telangana, Hyderabad-500011",500011,Hyderabad,Telangana,Private Laboratory
"Dr. Remedies labs Private Limited , Hyderabad","Dr. Remedies labs Private Limited , Titus Plaza, 1st Floor, Sharma Commercial Complex, Hyderabad, Telangana 500082",500082,Hyderabad,Telangana,Private Laboratory
"PATHCARE Labs Pvt. Ltd., Hyderabad","PATHCARE Labs Pvt. Ltd., Sy. #34, Opp: Geethanjali Engineering College, Cheeryal (V), Keesara (M), Greater Hyderabad, Telangana 501301",501301,Hyderabad,Telangana,Private Laboratory
"AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Hyderabad","AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Door No. 1-100/CCH, Second Floor, At Citizens Hospital, Nallagandla, Serilingampally, Hyderabad, Telangana 500019",500019,Hyderabad,Telangana,Private Laboratory
"Medcis Pathlabs India Pvt.Ltd., Secunderabad","Medcis Pathlabs India Pvt.Ltd., Plot 16 & 17, Swathi Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens, Hyderabad, Telangana 500011",500011,Hyderabad,Telangana,Private Laboratory
"The Department of Laboratory Medicine, Yashoda Hospital, Secunderabad","The Department of Laboratory Medicine, Yashoda Hospital, 9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road, Secunderabad, Telangana 500003",500003,Secunderabad,Telangana,Private Laboratory
"Biognosys Technologies (India) Private Limited, Hyderabad","Biognosys Technologies (India) Private Limited, # 8 - 148/174/11, NRI Colony, ALEAP Industrial Area, Medchal, Malkajgiri, Hyderabad, Telangana 500090, India",500090,Hyderabad,Telangana,Private Laboratory
"Department of Laboratory Medicine, Star Hospitals, A Unit of UNIMED Healthcare Pvt Ltd, Hyderabad","Department of Laboratory Medicine, Star Hospitals, A Unit of UNIMED Healthcare Pvt Ltd. # 8-2-594/B, Road No. 10, Banjara Hills, Hyderabad- 500034, Telangana",500034,Hyderabad,Telangana,Private Laboratory
"Tenet Diagnostics (A Unit of Center for Excellence in Medical Services Private Limited), Hyderabad","Tenet Diagnostics (A Unit of Center for Excellence in Medical Services Private Limited), Plot No 51, Kineta Towers, Journalist Colony, Road No 3, Banjara Hills, Hyderabad, Telangana 500034",500034,Hyderabad,Telangana,Private Laboratory
"Government Medical College, Agartala","Government Medical College, 79 Tilla, Agartala, Tripura 799006",799006,Agartala,Tripura,Government Laboratory
"King George's Medical University, Lucknow","King George's Medical University, Shah Mina Rd, Chowk, Lucknow, Uttar Pradesh 226003",226003,Lucknow,Uttar Pradesh,Government Laboratory
"Institute of Medical Sciences, BHU, Varanasi","Institute of Medical Sciences, BHU, Aurobindo Colony, Banaras Hindu University Campus, Varanasi, Uttar Pradesh 221005",221005,Varanasi,Uttar Pradesh,Government Laboratory
"Jawaharlal Nehru Medical College, Aligarh","Jawaharlal Nehru Medical College, Medical Rd, AMU Campus, Aligarh, Uttar Pradesh 202002",202002,Aligarh,Uttar Pradesh,Government Laboratory
"Command Hospital, Lucknow","Command Hospital, Lucknow, Uttar Pradesh 226002",226002,Lucknow,Uttar Pradesh,Government Laboratory
"Lala Lajpat Rai Memorial Medical College, Meerut","Lala Lajpat Rai Memorial Medical College, Garh Road, Jai Bhim Nagar, Meerut, Uttar Pradesh 250002",250002,Meerut,Uttar Pradesh,Government Laboratory
"Sanjay Gandhi Post Graduate Institute, Lucknow","Sanjay Gandhi Post Graduate Institute, New PMSSY Rd, Raibareli Rd, Lucknow, Uttar Pradesh 226014",226014,Lucknow,Uttar Pradesh,Government Laboratory
"Uttar Pradesh University of Medical Sciences, Saifai","Uttar Pradesh University of Medical Sciences, Off, Kurawali - Mainpuri - Etawah Rd, Saifai, Uttar Pradesh 206130",206130,Saifai,Uttar Pradesh,Government Laboratory
"ICMR- Regional Medical Research Centre, Gorakhpur","ICMR- Regional Medical Research Centre, Baba Raghav Das (BRD) Medical College Campus, Gorakhpur, Uttar Pradesh PIN-273013",273013,Gorakhpur,Uttar Pradesh,Government Laboratory
"Maharani Laxmi Bai Medical College, Jhansi","Maharani Laxmi Bai Medical College, Jhansi - Kanpur Road, Jhansi, Uttar Pradesh 284001, India",284001,Jhansi,Uttar Pradesh,Government Laboratory
"Motilal Nehru Medical College, Prayagraj","Motilal Nehru Medical College, George Town, Prayagraj, Uttar Pradesh 211002, India",211002,Prayagraj,Uttar Pradesh,Government Laboratory
"Dr. Ram Manohar Lohia Institute of Medical Sciences (DR.RMLIMS), Lucknow","Dr. Ram Manohar Lohia Institute of Medical Sciences (DR.RMLIMS), Vibhuti Khand, Gomtinagar, Lucknow-226010, Uttar Pradesh, India",226010,Lucknow,Uttar Pradesh,Government Laboratory
"Sarojini Naidu Medical College, Agra","S.N. Medical College, Moti Katra, Agra - 282002 (U.P) India",282002,Agra,Uttar Pradesh,Government Laboratory
"Government Institute of Medical Sciences (GIMS), Greater Noida","Government Institute of Medical Sciences (GIMS), Greater Noida, Gautam Buddha Nagar, U.P. - 201310, India",201310,Greater Noida,Uttar Pradesh,Government Laboratory
"Ganesh Shanker Vidyarthi Memorial Medical College (GSVM Medical College), Kanpur","Ganesh Shanker Vidyarthi Memorial Medical College (GSVM Medical College), Swaroop Nagar, Kanpur 208002 ,Uttar Pradesh",208002,Kanpur,Uttar Pradesh,Government Laboratory
"National Institute of Biologicals, Noida","National Institute of Biologicals, Plot No. A-32, Sector-62, Institutional Area, Noida -201309, Uttar Pradesh, India",201309,Noida,Uttar Pradesh,Government Laboratory
"RML Mehrotra Pathology Pvt Ltd., Lucknow","RML Mehrotra Pathology Pvt Ltd., A-21/A, Nirala Nagar, Lucknow, Uttar Pradesh 226020",226020,Lucknow,Uttar Pradesh,Private Laboratory
"Department of Laboratory Medicine, Jaypee Hospital, Noida","Department of Laboratory Medicine, Jaypee Hospital, Sector 128, Noida-201304",201304,Noida,Uttar Pradesh,Private Laboratory
"Government Medical College, Haldwani","Government Medical College, Rampur Rd, Rampur, Haldwani, Uttarakhand 263129",263129,Haldwani,Uttarakhand,Government Laboratory
"All India Institute of Medical Sciences (AIIMS), Rishikesh","All India Institute of Medical Sciences (AIIMS), Virbhadra Road Shivaji Nagar, near Barrage, Sturida Colony, Rishikesh, Uttarakhand 249203",249203,Rishikesh,Uttarakhand,Government Laboratory
"Dr. Ahuja’s Pathlogy and Imaging Centre-Department of Laboratory Medicine, Dehradun","Dr. Ahuja’s Pathlogy and Imaging Centre-Department of Laboratory Medicine, 7-B Astley Hall, Ugrasain Rd, Dehradun, Uttarakhand 248001",248001,Dehradun,Uttarakhand,Private Laboratory
"ICMR-National Institute of Cholera & Enteric Diseases (NICED), Kolkata","ICMR-National Institute of Cholera & Enteric Diseases (NICED), P-33, C.I.T. Road, Scheme XM, Beleghata, Kolkata 700 010, India",700010,Kolkata,West Bengal,Government Laboratory
"Institute of Post Graduate Medical Education and Research (IPGMER), Kolkata","Institute of Post Graduate Medical Education and Research (IPGMER), 244, Acharya Jagadish Chandra Bose Rd, Bhowanipore, Kolkata, West Bengal 700020",700020,Kolkata,West Bengal,Government Laboratory
"Midnapore Medical College, Midnapore","Midnapore Medical College, Vidyasagar Road , Paschim Medinipur, Midnapore, West Bengal, 721 101",721101,Midnapore,West Bengal,Government Laboratory
"North Bengal Medical College, Siliguri","North Bengal Medical College, Sushruta Nagar, Siliguri, West Bengal 734012",734012,Siliguri,West Bengal,Government Laboratory
"School of Tropical Medicine, Kolkata","School of Tropical Medicine, 108, Chittaranjan Avenue, Kolkata - 700073, West Bengal",700073,Kolkata,West Bengal,Government Laboratory
"Malda Medical College, Malda","Malda Medical College, Dipak Rd, 3 No. Govt Colony, Uma Roy Sarani, Malda, West Bengal 732101",732101,Malda,West Bengal,Government Laboratory
"Command Hospital (Eastern Command), Kolkata","Command Hospital (Eastern Command), Alipore, Kolkata, Pin- 700027, West Bengal, India",700027,Kolkata,West Bengal,Government Laboratory
"Apollo Gleneagles Hospitals, Kolkata","Apollo Gleneagles Hospitals, 58, Canal Circular Road, Kolkata, West Bengal 700054",700054,Kolkata,West Bengal,Private Laboratory
"Tata Medical Center, Kolkata","Department of Laboratory Sciences, Tata Medical Center, 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160",700160,Kolkata,West Bengal,Private Laboratory
"Laboratory Services, Peerless Hospitex Hospital & Research Center Limited, Kolkata","Laboratory Services, Peerless Hospitex Hospital & Research Center Limited, 360, Panchasayar, Kolkata, West Bengal 700094, India",700094,Kolkata,West Bengal,Private Laboratory
"AMRI Hospitals, Department of Laboratory Medicine, Kolkata","AMRI Hospitals, Department of Laboratory Medicine, JC 16 & 17, Sector III, Salt Lake City, Kolkata, West Bengal -700098, India",700098,Kolkata,West Bengal,Private Laboratory
"Suraksha Diagnostics Pvt. Ltd., Kolkata","Suraksha Diagnostics Pvt. Ltd., 12/1, Premises No. 02-0327, DG Block, Action Area 1D, Newtown, Kolkata, West Bengal 700156, India",700156,Kolkata,West Bengal,Private Laboratory
"Dr. Lal PathLabs Ltd, Reference Laboratory, Kolkata","Dr. Lal PathLabs Ltd, Reference Laboratory, Plot No. CB-31/1, Premises No. 031-0199, Street No, 199 Action area IC, Newtown, Kolkata-700156, West Bengal",700156,Kolkata,West Bengal,Private Laboratory
